"","id","start","end","is.overnight","start.r","end.r"
"1","korean-bamboo-seattle-3",1114.28571428571,2100,FALSE,1114,2100
"2","andaluca-restaurant-seattle-2",1087.5,1550,FALSE,1088,1550
"3","raccolto-seattle",1700,2200,FALSE,1700,2200
"4","srivilai-thai-cuisine-seattle",1200,2150,FALSE,1200,2150
"5","senor-moose-cafe-seattle-3",800,2042.85714285714,FALSE,800,2043
"6","damn-the-weather-seattle",1242.85714285714,1671.42857142857,TRUE,1243,1671
"7","market-fresh-iv-seattle-2",NA,NA,FALSE,NA,NA
"8","indo-cafe-seattle-2",1130,2128.57142857143,FALSE,1130,2129
"9","cafe-nordstrom-seattle-5",954.285714285714,1971.42857142857,FALSE,954,1971
"10","berrys-bbq-burien",1642.85714285714,2100,FALSE,1643,2100
"11","rn74-seattle",1600,2153.33333333333,FALSE,1600,2153
"12","el-sirenito-seattle",1600,1420,TRUE,1600,1420
"13","manus-bodega-seattle",1100,1500,FALSE,1100,1500
"14","root-table-seattle",1365,1865,FALSE,1365,1865
"15","evergreens-salad-seattle-4",1078.57142857143,1914.28571428571,FALSE,1079,1914
"16","north-star-diner-and-shanghai-room-seattle",0,0,TRUE,0,0
"17","fats-fried-chicken-and-waffles-seattle",1200,1937.5,FALSE,1200,1938
"18","cheeky-cafe-seattle",920,1983.33333333333,FALSE,920,1983
"19","bramling-cross-seattle-2",1700,2228.57142857143,FALSE,1700,2229
"20","the-carlile-room-seattle",1428.57142857143,0,FALSE,1429,0
"21","el-borracho-seattle",1100,1642.85714285714,FALSE,1100,1643
"22","kiriba-sushi-seattle",1440.90909090909,1795.45454545455,FALSE,1441,1795
"23","king-donuts-seattle",700,1900,FALSE,700,1900
"24","the-walrus-and-the-carpenter-seattle",1600,2200,FALSE,1600,2200
"25","yangs-noodle-seattle",1100,2153.33333333333,FALSE,1100,2153
"26","voxx-coffee-seattle-2",600,1700,FALSE,600,1700
"27","takis-mad-greek-seattle",1105,2121.66666666667,FALSE,1105,2122
"28","san-fermo-seattle",1544.44444444444,2055.55555555556,FALSE,1544,2056
"29","elliotts-oyster-house-seattle-2",1100,2228.57142857143,FALSE,1100,2229
"30","barbecue-smith-seattle",1130,2100,FALSE,1130,2100
"31","cafe-flora-seattle",1077.77777777778,1966.66666666667,FALSE,1078,1967
"32","great-american-diner-and-bar-seattle-2",700,0,FALSE,700,0
"33","hooverville-bar-seattle",1400,200,TRUE,1400,200
"34","beetle-cafe-seattle-4",1116.66666666667,1975,FALSE,1117,1975
"35","ironsteak-seattle",1100,2300,FALSE,1100,2300
"36","kau-kau-barbeque-seattle",1000,2228.57142857143,FALSE,1000,2229
"37","el-quetzal-seattle",1100,1600,TRUE,1100,1600
"38","salt-and-iron-edmonds",1042.85714285714,2228.57142857143,FALSE,1043,2229
"39","revel-seattle-2",1372.72727272727,1800,FALSE,1373,1800
"40","pho-than-brothers-seattle-10",1100,2100,FALSE,1100,2100
"41","baja-tacos-and-beer-mexican-restaurant-seattle",1030,2304.28571428571,FALSE,1030,2304
"42","can-can-seattle",1500,200,TRUE,1500,200
"43","teddys-bigger-burgers-greenlake-greenlake",1100,2100,FALSE,1100,2100
"44","good-bar-seattle-3",1600,685.714285714286,TRUE,1600,686
"45","maono-seattle",1471.42857142857,2028.57142857143,FALSE,1471,2029
"46","joy-bento-seattle",1000,1500,FALSE,1000,1500
"47","cherry-street-coffee-house-seattle-4",630,1700,FALSE,630,1700
"48","nori-presto-seattle",1100,2100,FALSE,1100,2100
"49","maneki-seattle",1730,2230,FALSE,1730,2230
"50","tarsan-i-jane-seattle-2",1625,2025,FALSE,1625,2025
"51","zippys-giant-burgers-seattle",814.285714285714,2128.57142857143,FALSE,814,2129
"52","mr-west-cafe-bar-seattle",700,1928.57142857143,FALSE,700,1929
"53","gourmet-noodle-bowl-seattle",1130,2200,FALSE,1130,2200
"54","new-leaf-bistro-seattle-2",1100,2130,FALSE,1100,2130
"55","sunfish-seattle",1100,2100,FALSE,1100,2100
