"id","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.city","location.zip_code","location.country","location.state","category"
"a-hong-kong-kitchen-seattle","A + Hong Kong Kitchen","https://s3-media2.fl.yelpcdn.com/bphoto/u2q48qSpHZXaYZuuVhFnpg/o.jpg",FALSE,"https://www.yelp.com/biz/a-hong-kong-kitchen-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",307,4,"$","+12066821267","(206) 682-1267",929.722895978268,47.59854,-122.32652,"419 6th Ave S","Seattle","98104","US","WA","cantonese"
"radiator-whiskey-seattle","Radiator Whiskey","https://s3-media2.fl.yelpcdn.com/bphoto/A3x035N72PjqAQ7MIf2kAQ/o.jpg",FALSE,"https://www.yelp.com/biz/radiator-whiskey-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",961,4.5,"$$","+12064674268","(206) 467-4268",620.151763139188,47.60888,-122.34036,"94 Pike St","Seattle","98101","US","WA",NA
"pike-place-chowder-seattle","Pike Place Chowder","https://s3-media3.fl.yelpcdn.com/bphoto/ijju-wYoRAxWjHPTCxyQGQ/o.jpg",FALSE,"https://www.yelp.com/biz/pike-place-chowder-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",5438,4.5,"$$","+12062672537","(206) 267-2537",703.58076193869,47.609411,-122.341191,"1530 Post Aly","Seattle","98101","US","WA",NA
"biscuit-bitch-seattle-5","Biscuit Bitch","https://s3-media4.fl.yelpcdn.com/bphoto/WUnigNI9n5Gdpw4qdyOSyw/o.jpg",FALSE,"https://www.yelp.com/biz/biscuit-bitch-seattle-5?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",454,4.5,"$","+12066231859","(206) 623-1859",263.058258045398,47.60324,-122.3321,"621 3rd Ave","Seattle","98104","US","WA",NA
"list-seattle","List","https://s3-media1.fl.yelpcdn.com/bphoto/1SAsDex924II8SouZwGzAw/o.jpg",FALSE,"https://www.yelp.com/biz/list-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",1487,4.5,"$$","+12064411000","(206) 441-1000",1264.68390943081,47.61334,-122.34587,"2226 1st Ave","Seattle","98121","US","WA","italian"
"elliotts-oyster-house-seattle-2","Elliott's Oyster House","https://s3-media3.fl.yelpcdn.com/bphoto/Am6AabmBhkHHqrGRSg2clQ/o.jpg",FALSE,"https://www.yelp.com/biz/elliotts-oyster-house-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",2656,4,"$$$","+12066234340","(206) 623-4340",462.694593345238,47.6054699,-122.34092,"1201 Alaskan Way","Seattle","98101","US","WA",NA
"chan-seattle-seattle-2","Chan Seattle","https://s3-media4.fl.yelpcdn.com/bphoto/GW_ZhVgN9AFy6R7uJwB8Ig/o.jpg",FALSE,"https://www.yelp.com/biz/chan-seattle-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",670,4.5,"$$","+12064435443","(206) 443-5443",754.980110375182,47.6098823547363,-122.341438293457,"86 Pine St","Seattle","98101","US","WA",NA
"il-corvo-pasta-seattle","Il Corvo Pasta","https://s3-media4.fl.yelpcdn.com/bphoto/hSlULB9cJ9xulzYDulwtYA/o.jpg",FALSE,"https://www.yelp.com/biz/il-corvo-pasta-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",811,4.5,"$$","+12065380999","(206) 538-0999",350.921597841024,47.60244,-122.33165,"217 James St","Seattle","98104","US","WA","italian"
"spin-seattle-3","SPiN","https://s3-media3.fl.yelpcdn.com/bphoto/cDcT2A_fTMeXvOBJLfI6Tw/o.jpg",FALSE,"https://www.yelp.com/biz/spin-seattle-3?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",22,4.5,"$$","+12066863593","(206) 686-3593",765.060049082776,47.61157,-122.3353,"1511 6th Ave","Seattle","98101","US","WA",NA
"tilikum-place-cafe-seattle-3","Tilikum Place Cafe","https://s3-media2.fl.yelpcdn.com/bphoto/M9PnlH68RFuTBF3NSEnTTw/o.jpg",FALSE,"https://www.yelp.com/biz/tilikum-place-cafe-seattle-3?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",1487,4.5,"$$","+12062824830","(206) 282-4830",1746.10741042453,47.61787,-122.34751,"407 Cedar St","Seattle","98121","US","WA",NA
"the-pink-door-seattle-4","The Pink Door","https://s3-media3.fl.yelpcdn.com/bphoto/4MmMuSGEQCXpqEoCOhL7tw/o.jpg",FALSE,"https://www.yelp.com/biz/the-pink-door-seattle-4?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",3150,4.5,"$$","+12064433241","(206) 443-3241",849.498973910548,47.61028,-122.3425,"1919 Post Aly","Seattle","98101","US","WA","italian"
